
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000244                       # Number of seconds simulated (Second)
simTicks                                    243573500                       # Number of ticks simulated (Tick)
finalTick                                   243573500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.78                       # Real time elapsed on the host (Second)
hostTickRate                                136670221                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     703636                       # Number of bytes of host memory used (Byte)
simInsts                                       344524                       # Number of instructions simulated (Count)
simOps                                         659159                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   193298                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     369825                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           487148                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.413974                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.707227                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          795443                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       81                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         756719                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    641                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               136359                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            215134                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  45                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              378494                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.999289                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.433958                       # Number of insts issued each cycle (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst    142193999                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.missLatency::total    142193999                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.accesses::cpu.inst        66853                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.accesses::total        66853                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.missRate::cpu.inst     0.030335                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.missRate::total     0.030335                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMissLatency::cpu.inst 70115.384122                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMissLatency::total 70115.384122                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.mshrHits::cpu.inst          507                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrHits::total          507                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrMisses::cpu.inst         1521                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMisses::total         1521                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMissLatency::cpu.inst    110275000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissLatency::total    110275000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissRate::cpu.inst     0.022751                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.mshrMissRate::total     0.022751                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMshrMissLatency::cpu.inst 72501.643655                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMshrMissLatency::total 72501.643655                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED    243573500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.icache.tags.tagsInUse           448.308831                       # Average ticks per tags in use ((Tick/Count))
system.cpu.icache.tags.totalRefs                66345                       # Total number of references to valid blocks. (Count)
system.cpu.icache.tags.sampledRefs               1520                       # Sample count of references to valid blocks. (Count)
system.cpu.icache.tags.avgRefs              43.648026                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.icache.tags.warmupTick               87500                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.icache.tags.occupancies::cpu.inst   448.308831                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.icache.tags.avgOccs::cpu.inst     0.875603                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.avgOccs::total        0.875603                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.occupanciesTaskId::1024          507                       # Occupied blocks per task id (Count)
system.cpu.icache.tags.ageTaskId_1024::0          109                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::1          244                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::2          154                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ratioOccsTaskId::1024     0.990234                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.icache.tags.tagAccesses             135226                       # Number of tag accesses (Count)
system.cpu.icache.tags.dataAccesses            135226                       # Number of data accesses (Count)
system.cpu.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED    243573500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.iew.idleCycles                           0                       # Number of cycles IEW is idle (Cycle)
system.cpu.iew.squashCycles                      3931                       # Number of cycles IEW is squashing (Cycle)
system.cpu.iew.blockCycles                      72454                       # Number of cycles IEW is blocking (Cycle)
system.cpu.iew.unblockCycles                     3459                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.iew.dispatchedInsts                 795524                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts                  404                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                    97201                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                   62381                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                    27                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                       427                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                     2762                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents             99                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect            858                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect         3337                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts                 4195                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                   748406                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount                  746149                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                    524693                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                    895014                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        1.531668                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.586240                       # Average fanout of values written-back ((Count/Count))
system.cpu.interrupts.clk_domain.clock           8000                       # Clock period in ticks (Tick)
system.cpu.itb_walker_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu.itb_walker_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.itb_walker_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu.itb_walker_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.itb_walker_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.itb_walker_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.itb_walker_cache.replacements            0                       # number of replacements (Count)
system.cpu.itb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED    243573500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.itb_walker_cache.tags.tagsInUse            0                       # Average ticks per tags in use ((Tick/Count))
system.cpu.itb_walker_cache.tags.totalRefs            0                       # Total number of references to valid blocks. (Count)
system.cpu.itb_walker_cache.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
system.cpu.itb_walker_cache.tags.avgRefs          nan                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.itb_walker_cache.tags.warmupTick            0                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.itb_walker_cache.tags.tagAccesses            0                       # Number of tag accesses (Count)
system.cpu.itb_walker_cache.tags.dataAccesses            0                       # Number of data accesses (Count)
system.cpu.itb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED    243573500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.lsq0.forwLoads                       14888                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                   15455                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                   25                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                  99                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                   7930                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads                    0                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                    105                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples              81746                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::mean              7.088726                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::stdev            27.069112                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::0-9                  79546     97.31%     97.31% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::10-19                   18      0.02%     97.33% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::20-29                   98      0.12%     97.45% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::30-39                   13      0.02%     97.47% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::40-49                    3      0.00%     97.47% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::50-59                    5      0.01%     97.48% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::60-69                    4      0.00%     97.48% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::70-79                   15      0.02%     97.50% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::80-89                    9      0.01%     97.51% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::90-99                   15      0.02%     97.53% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::100-109                 12      0.01%     97.54% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::110-119                 20      0.02%     97.57% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::120-129                 45      0.06%     97.62% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::130-139                 85      0.10%     97.73% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::140-149               1103      1.35%     99.08% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::150-159                109      0.13%     99.21% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::160-169                 56      0.07%     99.28% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::170-179                240      0.29%     99.57% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::180-189                 39      0.05%     99.62% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::190-199                 67      0.08%     99.70% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::200-209                174      0.21%     99.91% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::210-219                 18      0.02%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::220-229                  3      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::230-239                  2      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::240-249                  2      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::250-259                  3      0.00%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::260-269                  1      0.00%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::270-279                  1      0.00%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::290-299                  3      0.00%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::overflows               37      0.05%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::min_value                2                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::max_value              683                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::total                81746                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.mmu.dtb.rdAccesses                   93143                       # TLB accesses on read requests (Count)
system.cpu.mmu.dtb.wrAccesses                   59368                       # TLB accesses on write requests (Count)
system.cpu.mmu.dtb.rdMisses                       340                       # TLB misses on read requests (Count)
system.cpu.mmu.dtb.wrMisses                        66                       # TLB misses on write requests (Count)
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED    243573500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.rdAccesses                       0                       # TLB accesses on read requests (Count)
system.cpu.mmu.itb.wrAccesses                   67211                       # TLB accesses on write requests (Count)
system.cpu.mmu.itb.rdMisses                         0                       # TLB misses on read requests (Count)
system.cpu.mmu.itb.wrMisses                       506                       # TLB misses on write requests (Count)
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED    243573500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON    243573500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.squashCycles                   3931                       # Number of cycles rename is squashing (Cycle)
system.cpu.rename.idleCycles                   112033                       # Number of cycles rename is idle (Cycle)
system.cpu.rename.blockCycles                  104055                       # Number of cycles rename is blocking (Cycle)
system.cpu.rename.serializeStallCycles           2079                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.runCycles                    123539                       # Number of cycles rename is running (Cycle)
system.cpu.rename.unblockCycles                 32857                       # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.renamedInsts                 817529                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents                  3131                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                   6674                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.LQFullEvents                   3628                       # Number of times rename has blocked due to LQ full (Count)
system.cpu.rename.SQFullEvents                  18870                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.renamedOperands             1293602                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                     2662498                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                  1072827                       # Number of integer rename lookups (Count)
system.cpu.rename.fpLookups                     68291                       # Number of floating rename lookups (Count)
system.cpu.rename.committedMaps               1015079                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                   278514                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                      71                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                  58                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                     37933                       # count of insts added to the skid buffer (Count)
system.cpu.rename.renameOccupancy::samples       377954                       # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::mean    139.555536                       # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::stdev    43.517641                       # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::underflows            0      0.00%      0.00% # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::0-255       377938    100.00%    100.00% # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::256-511           16      0.00%    100.00% # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::512-767            0      0.00%    100.00% # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::768-1023            0      0.00%    100.00% # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::1024             0      0.00%    100.00% # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::overflows            0      0.00%    100.00% # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::min_value           87                       # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::max_value          266                       # Rename Occupancy (Count)
system.cpu.rename.renameOccupancy::total       377954                       # Rename Occupancy (Count)
system.cpu.rob.reads                          1095434                       # The number of ROB reads (Count)
system.cpu.rob.writes                         1584890                       # The number of ROB writes (Count)
system.cpu.rob.avgInstsInROB                        0                       # Average number of instructions in ROB ((Count/Tick))
system.cpu.rob.maxInstsInROB                        0                       # Maximum number of instructions in ROB (Count)
system.cpu.rob.minInstsInROB                        0                       # Minimum number of instructions in ROB (Count)
system.cpu.rob.robOccupancy::samples           377954                       # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::mean           72.568522                       # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::stdev          62.336579                       # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::underflows             0      0.00%      0.00% # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::0-255             377954    100.00%    100.00% # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::256-511                0      0.00%    100.00% # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::512-767                0      0.00%    100.00% # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::768-1023               0      0.00%    100.00% # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::1024                   0      0.00%    100.00% # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::overflows              0      0.00%    100.00% # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::min_value              0                       # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::max_value            192                       # ROB Occupancy (Count)
system.cpu.rob.robOccupancy::total             377954                       # ROB Occupancy (Count)
system.cpu.thread_0.numInsts                   344524                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                     659159                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References (Count)
system.cpu.workload.numSyscalls                   289                       # Number of system calls (Count)
system.cpu_clk_domain.clock                       500                       # Clock period in ticks (Tick)
system.cpu_voltage_domain.voltage                   1                       # Voltage in Volts (Volt)
system.l2.demandHits::cpu.inst                    134                       # number of demand (read+write) hits (Count)
system.l2.demandHits::cpu.data                    125                       # number of demand (read+write) hits (Count)
system.l2.demandHits::total                       259                       # number of demand (read+write) hits (Count)
system.l2.overallHits::cpu.inst                   134                       # number of overall hits (Count)
system.l2.overallHits::cpu.data                   125                       # number of overall hits (Count)
system.l2.overallHits::total                      259                       # number of overall hits (Count)
system.l2.demandMisses::cpu.inst                 1387                       # number of demand (read+write) misses (Count)
system.l2.demandMisses::cpu.data                 1408                       # number of demand (read+write) misses (Count)
system.l2.demandMisses::total                    2795                       # number of demand (read+write) misses (Count)
system.l2.overallMisses::cpu.inst                1387                       # number of overall misses (Count)
system.l2.overallMisses::cpu.data                1408                       # number of overall misses (Count)
system.l2.overallMisses::total                   2795                       # number of overall misses (Count)
system.l2.demandMissLatency::cpu.inst       106561000                       # number of demand (read+write) miss ticks (Tick)
system.l2.demandMissLatency::cpu.data       110996000                       # number of demand (read+write) miss ticks (Tick)
system.l2.demandMissLatency::total          217557000                       # number of demand (read+write) miss ticks (Tick)
system.l2.overallMissLatency::cpu.inst      106561000                       # number of overall miss ticks (Tick)
system.l2.overallMissLatency::cpu.data      110996000                       # number of overall miss ticks (Tick)
system.l2.overallMissLatency::total         217557000                       # number of overall miss ticks (Tick)
system.l2.demandAccesses::cpu.inst               1521                       # number of demand (read+write) accesses (Count)
system.l2.demandAccesses::cpu.data               1533                       # number of demand (read+write) accesses (Count)
system.l2.demandAccesses::total                  3054                       # number of demand (read+write) accesses (Count)
system.l2.overallAccesses::cpu.inst              1521                       # number of overall (read+write) accesses (Count)
system.l2.overallAccesses::cpu.data              1533                       # number of overall (read+write) accesses (Count)
system.l2.overallAccesses::total                 3054                       # number of overall (read+write) accesses (Count)
system.l2.demandMissRate::cpu.inst           0.911900                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu.data           0.918461                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::total              0.915193                       # miss rate for demand accesses (Ratio)
system.l2.overallMissRate::cpu.inst          0.911900                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu.data          0.918461                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::total             0.915193                       # miss rate for overall accesses (Ratio)
system.l2.demandAvgMissLatency::cpu.inst 76828.406633                       # average overall miss latency in ticks ((Tick/Count))
system.l2.demandAvgMissLatency::cpu.data 78832.386364                       # average overall miss latency in ticks ((Tick/Count))
system.l2.demandAvgMissLatency::total    77837.924866                       # average overall miss latency in ticks ((Tick/Count))
system.l2.overallAvgMissLatency::cpu.inst 76828.406633                       # average overall miss latency ((Tick/Count))
system.l2.overallAvgMissLatency::cpu.data 78832.386364                       # average overall miss latency ((Tick/Count))
system.l2.overallAvgMissLatency::total   77837.924866                       # average overall miss latency ((Tick/Count))
system.l2.blockedCycles::no_mshrs                   0                       # number of cycles access was blocked (Cycle)
system.l2.blockedCycles::no_targets                 0                       # number of cycles access was blocked (Cycle)
system.l2.blockedCauses::no_mshrs                   0                       # number of times access was blocked (Count)
system.l2.blockedCauses::no_targets                 0                       # number of times access was blocked (Count)
system.l2.avgBlocked::no_mshrs                    nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2.avgBlocked::no_targets                  nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2.demandMshrMisses::cpu.inst             1387                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu.data             1408                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::total                2795                       # number of demand (read+write) MSHR misses (Count)
system.l2.overallMshrMisses::cpu.inst            1387                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu.data            1408                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::total               2795                       # number of overall MSHR misses (Count)
system.l2.demandMshrMissLatency::cpu.inst     92701000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu.data     96916000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::total      189617000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu.inst     92701000                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu.data     96916000                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::total     189617000                       # number of overall MSHR miss ticks (Tick)
system.l2.demandMshrMissRate::cpu.inst       0.911900                       # mshr miss ratio for demand accesses (Ratio)
system.l2.demandMshrMissRate::cpu.data       0.918461                       # mshr miss ratio for demand accesses (Ratio)
system.l2.demandMshrMissRate::total          0.915193                       # mshr miss ratio for demand accesses (Ratio)
system.l2.overallMshrMissRate::cpu.inst      0.911900                       # mshr miss ratio for overall accesses (Ratio)
system.l2.overallMshrMissRate::cpu.data      0.918461                       # mshr miss ratio for overall accesses (Ratio)
system.l2.overallMshrMissRate::total         0.915193                       # mshr miss ratio for overall accesses (Ratio)
system.l2.demandAvgMshrMissLatency::cpu.inst 66835.616438                       # average overall mshr miss latency ((Tick/Count))
system.l2.demandAvgMshrMissLatency::cpu.data 68832.386364                       # average overall mshr miss latency ((Tick/Count))
system.l2.demandAvgMshrMissLatency::total 67841.502683                       # average overall mshr miss latency ((Tick/Count))
system.l2.overallAvgMshrMissLatency::cpu.inst 66835.616438                       # average overall mshr miss latency ((Tick/Count))
system.l2.overallAvgMshrMissLatency::cpu.data 68832.386364                       # average overall mshr miss latency ((Tick/Count))
system.l2.overallAvgMshrMissLatency::total 67841.502683                       # average overall mshr miss latency ((Tick/Count))
system.l2.replacements                              0                       # number of replacements (Count)
system.l2.ReadCleanReq.hits::cpu.inst             134                       # number of ReadCleanReq hits (Count)
system.l2.ReadCleanReq.hits::total                134                       # number of ReadCleanReq hits (Count)
system.l2.ReadCleanReq.misses::cpu.inst          1387                       # number of ReadCleanReq misses (Count)
system.l2.ReadCleanReq.misses::total             1387                       # number of ReadCleanReq misses (Count)
system.l2.ReadCleanReq.missLatency::cpu.inst    106561000                       # number of ReadCleanReq miss ticks (Tick)
system.l2.ReadCleanReq.missLatency::total    106561000                       # number of ReadCleanReq miss ticks (Tick)
system.l2.ReadCleanReq.accesses::cpu.inst         1521                       # number of ReadCleanReq accesses(hits+misses) (Count)
system.l2.ReadCleanReq.accesses::total           1521                       # number of ReadCleanReq accesses(hits+misses) (Count)
system.l2.ReadCleanReq.missRate::cpu.inst     0.911900                       # miss rate for ReadCleanReq accesses (Ratio)
system.l2.ReadCleanReq.missRate::total       0.911900                       # miss rate for ReadCleanReq accesses (Ratio)
system.l2.ReadCleanReq.avgMissLatency::cpu.inst 76828.406633                       # average ReadCleanReq miss latency ((Tick/Count))
system.l2.ReadCleanReq.avgMissLatency::total 76828.406633                       # average ReadCleanReq miss latency ((Tick/Count))
system.l2.ReadCleanReq.mshrMisses::cpu.inst         1387                       # number of ReadCleanReq MSHR misses (Count)
system.l2.ReadCleanReq.mshrMisses::total         1387                       # number of ReadCleanReq MSHR misses (Count)
system.l2.ReadCleanReq.mshrMissLatency::cpu.inst     92701000                       # number of ReadCleanReq MSHR miss ticks (Tick)
system.l2.ReadCleanReq.mshrMissLatency::total     92701000                       # number of ReadCleanReq MSHR miss ticks (Tick)
system.l2.ReadCleanReq.mshrMissRate::cpu.inst     0.911900                       # mshr miss rate for ReadCleanReq accesses (Ratio)
system.l2.ReadCleanReq.mshrMissRate::total     0.911900                       # mshr miss rate for ReadCleanReq accesses (Ratio)
system.l2.ReadCleanReq.avgMshrMissLatency::cpu.inst 66835.616438                       # average ReadCleanReq mshr miss latency ((Tick/Count))
system.l2.ReadCleanReq.avgMshrMissLatency::total 66835.616438                       # average ReadCleanReq mshr miss latency ((Tick/Count))
system.l2.ReadExReq.hits::cpu.data                 18                       # number of ReadExReq hits (Count)
system.l2.ReadExReq.hits::total                    18                       # number of ReadExReq hits (Count)
system.l2.ReadExReq.misses::cpu.data              326                       # number of ReadExReq misses (Count)
system.l2.ReadExReq.misses::total                 326                       # number of ReadExReq misses (Count)
